RRI,SBP,DBP,CO,SV,MAP
0.967,90.01874393,59.48366573,5.880206188,106.2052487,67.5009149
1.111,89.48538012,55.94060613,4.762743679,97.74720927,69.09053044
1.002,88.41865249,60.28371145,6.446960316,108.7487168,68.78009371
0.881,90.07589005,57.55974627,5.296332386,94.03601787,68.94022969
0.988,87.27573004,58.91220451,5.798369817,100.6726134,70.26320605
0.875,91.25690992,61.14090329,6.20521522,94.37091695,70.83949011
0.962,91.77122502,60.01702954,6.065523657,95.91577679,72.07008289
1.367,97.23820409,62.56955636,6.634692735,101.2255538,73.83223996
0.917,94.91426177,61.75046193,5.679592202,89.42971457,70.69700623
1.045,92.81890394,57.42640532,5.103095108,106.3933785,72.07435225
0.939,94.60948245,62.36002057,6.751056448,111.1002713,72.04680641
0.992,93.69514448,60.03607825,6.23481104,104.6341052,72.2247826
1.113,91.39025087,62.1885822,6.576605114,107.4092724,72.42907356
1.042,94.72377469,61.14090329,5.724119733,92.87582775,71.56618916
1.197,91.59978665,59.67415281,5.843823838,107.9613547,71.53756465
1.015,93.52370612,60.64563689,5.879525937,101.2254455,70.04218576
1.267,90.209231,57.92167171,5.454294211,107.0752903,70.78494462
0.911,92.15219917,61.4075852,6.105168086,103.1983933,68.6447569
0.88,88.66628569,56.55016477,5.247135931,103.0292667,69.60977768
0.968,88.01862964,61.84570547,5.92941136,103.1043447,71.77248131
1.356,95.2571385,62.13143608,6.009631871,88.47486226,73.22012556
1.344,94.26660571,58.81696097,6.385268078,106.9760625,70.96368408
0.893,93.33321904,62.34097187,4.780825812,109.2062459,69.34636423
0.959,92.87605006,57.35021049,4.847752996,110.0491218,71.3396515
0.997,91.1997638,63.21721241,6.776688468,114.2888442,72.88641141
0.945,94.68567728,61.76951064,5.958168914,93.22994357,72.78970526
1.398,95.52382041,61.88380288,6.184075071,102.0073117,73.63386131
0.957,90.11398747,60.9123188,6.376739254,99.94698422,69.99855042
1,92.36173496,57.23591824,4.901042235,102.781964,71.53211205
1.044,92.62841686,62.47431282,6.449190047,111.8208436,72.03311371
1.393,93.2189268,61.00756234,5.901299193,98.79574854,71.65948956
1.322,91.39025087,56.56921348,5.764694592,103.9074069,68.48100281
1.033,92.34268625,58.74076614,4.153984496,96.19485859,68.45592418
0.95,88.34245766,56.51206736,5.043239944,113.3327174,69.08220873
0.92,91.10452026,58.56932777,5.653626718,103.8752189,69.87278847
1.108,89.33299046,59.78844505,6.39064732,104.213838,70.67584484
0.949,90.93308189,61.00756234,6.138377411,95.30579281,69.45041907
1.168,90.66639998,57.94072042,5.414932956,95.10244459,70.33990531
1.258,89.82825685,57.61689239,6.550891425,107.3637882,69.08953164
1.229,91.08547155,57.10257729,4.712882405,91.47792226,68.45020598
1.177,89.21869821,56.43587253,5.207008573,111.2017091,67.31932767
0.952,89.71396461,55.94060613,4.913555401,100.9741575,67.17639705
1.052,87.31382746,55.90250871,5.357641398,107.2692984,68.49478128
1.094,89.84730556,59.08364287,6.124361215,100.9127789,68.93575852
1.04,90.34257196,58.01691525,5.649321677,97.8825568,69.03979925
0.961,89.00916243,58.51218165,5.620117912,102.594778,69.29410285
0.942,90.99022801,58.56932777,5.539125805,97.02320252,69.78706164
1.4,92.78080652,59.61700669,6.213354123,101.8377862,70.92828088
0.939,87.54241195,58.98839934,6.079758744,94.68003148,67.72541046
1.141,91.18071509,55.19770654,4.766541537,100.689094,69.83883015
1.035,89.77111073,60.03607825,6.974946315,115.5628654,69.20653359
0.85,91.75217631,57.25496695,5.299863615,95.82937169,69.36139925
0.837,87.44716841,58.70266872,5.637652466,102.3318945,70.41229765
1.458,96.2476713,62.01714384,6.402017476,96.58497099,72.69099565
0.907,85.59944378,60.28371145,6.627521187,90.19023492,69.68107605
1.353,96.13337905,56.39777511,5.340762924,107.3272472,72.82882633
0.954,95.54286912,60.01702954,8.153356838,126.9433789,68.9889679
1.075,93.40941387,55.6167781,5.327990958,106.3723359,70.4924315
1.162,91.37120216,58.93125321,6.790596055,114.3828903,69.72526261
1.342,92.17124788,56.96923634,5.274777265,94.52305514,68.75899516
1.278,89.37108787,54.0928815,5.318580692,104.4372355,65.91577911
0.929,89.37108787,58.05501267,4.280503757,96.19542876,65.39131292
0.991,85.12322609,53.36903061,4.792305475,104.8456446,66.98641871
1.137,88.79962665,57.90262301,5.95231748,98.16313104,68.38515833
1.209,89.50442882,57.40735661,5.802499856,95.20611187,68.16500463
1.371,90.60925386,56.70255443,5.149614183,99.11633105,67.95886574
1.323,88.36150637,54.89292721,4.730161908,96.35183853,66.79837036
1.01,87.00904814,57.04543117,4.73043328,109.45572,65.38241577
1.033,87.58050936,54.32146599,4.548815165,101.3477883,66.93070123
1.373,89.56157495,57.55974627,5.815527317,102.7982217,68.0555437
1.4,87.40907099,55.02626817,5.04287011,88.83030005,66.52231111
1.374,89.16155209,54.58814789,4.461699896,103.6359207,66.10360511
1.316,87.04714555,54.3595634,4.364600228,102.1549211,65.96022797
1.057,86.39948949,55.90250871,4.780542884,110.7011986,64.75669482
1.091,86.6661714,53.78810218,4.565710455,100.7973333,66.4392154
1.156,85.78993085,57.23591824,5.593773776,102.5162976,67.07628505
1.105,88.53294474,56.41682382,4.966884318,89.08768912,67.06194175
1.098,86.20900242,56.32158028,5.201005171,100.988912,67.07817718
0.904,88.38055508,56.51206736,5.121178885,94.49920384,66.88228946
0.97,84.151742,56.01680096,5.376291451,99.4956971,67.59981727
1.411,90.07589005,58.11215879,5.69826229,90.57842393,68.47715179
1.016,82.83738118,56.18823933,5.331463846,84.42678446,65.8840332
1.271,88.49484732,53.78810218,4.733156163,103.861425,67.81934481
0.961,88.6853344,58.09311008,6.477230714,111.2064807,66.10960929
1.028,87.88528868,54.45480694,4.961992149,99.04238812,67.36713617
1.268,87.21858392,57.33116178,6.165682483,103.4452453,67.85373085
1.196,88.51389603,55.3500962,5.332360991,90.9269179,66.30468306
1.005,86.47568432,55.04531688,4.74302389,100.7349416,66.16396468
0.855,88.03767834,55.21675524,4.883381301,99.02787369,66.60977909
0.861,84.41842391,56.3787264,5.635481926,102.1887372,67.53590015
1.431,90.78069223,58.96935063,6.046220291,91.46482901,68.95217657
1.138,81.82779968,54.8548298,5.654075327,78.44006246,66.24595642
1.134,89.90445168,53.97858925,4.496221453,104.4628097,67.50612955
1.209,87.88528868,56.13109321,5.880271822,115.0576191,67.15271053
0.953,88.83772406,56.15014191,5.231882103,99.19124743,66.02568395
1.048,84.45652133,54.3595634,5.139006345,103.2894879,66.83565248
1.061,87.00904814,57.73118464,5.79696927,96.08776991,67.22141009
1.01,88.30436025,56.56921348,5.48278908,94.00676607,67.52052511
1.164,87.80909385,57.3692592,5.757663984,102.2306449,68.09699985
1.361,88.20911671,56.16919062,5.656820975,98.53364214,67.01342998
1.336,87.56146065,53.97858925,4.671292884,91.09855891,65.38876343
1.228,85.77088215,53.27378707,4.579788849,104.641912,64.12495584
0.982,85.02798255,54.15002762,4.530600006,101.4452372,64.10060908
1.39,85.58039507,53.63571252,4.857914703,99.72420605,65.41336896
1.26,83.27550146,52.3404004,5.282224323,86.78410407,63.42039871
1.303,85.23751833,53.86429701,4.164306404,95.6618784,64.25768345
1.024,82.93262472,55.33104749,4.980729804,105.6898538,63.25251972
0.918,83.44693983,53.06425129,4.442785391,96.52244284,64.09818593
1.013,79.65624702,55.19770654,5.196551121,97.44604996,65.91752772
1.358,87.1614378,57.59784369,5.36551327,84.02050963,67.32778314
1.243,86.85665848,54.47385565,5.579005676,94.80183139,65.36971283
1.333,85.75183344,55.3500962,4.41427708,100.1325336,65.76488845
0.938,86.70426882,57.3692592,4.730575843,97.19454031,64.70778791
1.337,84.3993752,53.67380993,4.784977812,102.5771029,66.37618669
1.001,85.46610282,55.55963198,6.129621532,96.44509888,63.77655791
1.074,82.66594282,52.85471551,4.44044297,91.60741758,65.25539894
1.026,84.09459588,57.02638246,5.509165096,96.22977752,65.65227169
0.996,84.87559289,55.84536259,5.121077429,90.01671193,66.09796825
1.408,86.72331752,57.14067471,5.393329959,94.15334997,66.7313305
1.245,81.23728975,52.43564394,5.057963284,83.19291446,63.86486816
1.293,83.18025792,53.71190735,4.290015286,100.9089332,63.74858227
0.963,83.80886527,55.84536259,4.805280305,100.4446487,62.97151641
0.983,81.16109492,52.47374136,4.618770964,99.13572299,64.16287932
0.998,81.38967941,56.83589538,5.383470043,94.54184201,65.49879433
0.886,85.02798255,56.30253157,5.100935364,82.85763951,65.84752414
0.97,81.75160485,56.28348287,5.45245052,91.27741691,66.68468047
1.407,87.29477875,57.8835743,5.651033846,86.79976742,67.50685799
0.982,81.99923805,56.3787264,5.306718132,84.68285015,65.33796692
1.395,89.6949159,54.3595634,4.702666633,99.04859704,67.82896217
1.135,86.43758691,55.02626817,6.230070153,102.6952193,66.02371979
1.245,87.27573004,54.18812504,4.529047426,102.4940969,66.60982743
1.039,88.24721413,56.07394708,5.45771867,103.4476823,65.60657152
1.043,83.99935234,54.0928815,5.020535439,103.2378556,65.90918402
0.975,86.20900242,56.09299579,5.431039346,96.53673697,65.95902006
1.177,83.75171915,55.73107035,5.569452585,97.76155533,66.52241998
1.004,86.24709983,57.14067471,5.603619509,91.17275711,65.3802532
1.046,83.96125493,54.49290436,5.041991277,95.56397904,65.94922917
0.961,85.02798255,57.10257729,5.606405645,97.10751517,65.98810585
0.921,84.74225194,56.18823933,5.445626821,94.07393203,66.34368228
1.039,82.74213765,57.73118464,5.697997393,95.38608491,67.70083679
0.955,88.34245766,58.56932777,5.465345503,83.64341488,67.87702966
